/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:23:53.1003838+03:00,7.151222784e+09,1.6885276672e+10,9.734053888e+09,57
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:25:22.702287+03:00,7.157956608e+09,1.6885276672e+10,9.727320064e+09,57
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:27:23.214998+03:00,7.127363584e+09,1.6885276672e+10,9.757913088e+09,57
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:32:38.1759168+03:00,7.213932544e+09,1.6885276672e+10,9.671344128e+09,57
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:33:20.6258985+03:00,7.184027648e+09,1.6885276672e+10,9.701249024e+09,57
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:36:36.989296+03:00,6.88052224e+09,1.6885276672e+10,1.0004754432e+10,59
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:37:15.8274631+03:00,7.022997504e+09,1.6885276672e+10,9.862279168e+09,58
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:39:42.705041+03:00,6.581809152e+09,1.6885276672e+10,1.030346752e+10,61
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:40:49.228256+03:00,6.727667712e+09,1.6885276672e+10,1.015760896e+10,60
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:41:50.4654583+03:00,7.01190144e+09,1.6885276672e+10,9.873375232e+09,58
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:42:51.6915017+03:00,6.949797888e+09,1.6885276672e+10,9.935478784e+09,58
/datetime,/free,/total,/used,/usedPercent
2025-11-14T14:43:52.9059664+03:00,7.124230144e+09,1.6885276672e+10,9.761046528e+09,57
